#Emin     Emax      dN/dE
#---------------------------
0.000d+00 4.223d-09 3.837d-10
4.223d-09 1.334d-08 3.351d-09
1.334d-08 4.212d-08 1.290d-08
4.212d-08 1.330d-07 4.441d-08
1.330d-07 4.201d-07 1.348d-07
4.201d-07 1.327d-06 3.602d-07
1.327d-06 4.190d-06 9.684d-07
4.190d-06 1.323d-05 2.605d-06
1.323d-05 4.179d-05 7.023d-06
4.179d-05 1.320d-04 1.902d-05
1.320d-04 4.168d-04 5.205d-05
4.168d-04 1.316d-03 1.450d-04
1.316d-03 4.158d-03 4.225d-04
4.158d-03 1.313d-02 1.390d-03
1.313d-02 4.147d-02 5.273d-03
4.147d-02 1.171d-01 1.631d-02
1.171d-01 3.204d-01 3.750d-02
3.204d-01 5.236d-01 3.314d-02
5.236d-01 7.269d-01 2.878d-02
7.269d-01 9.302d-01 2.394d-02
9.302d-01 1.133d+00 2.045d-02
1.133d+00 1.337d+00 1.845d-02
1.337d+00 1.540d+00 1.776d-02
1.540d+00 1.743d+00 1.576d-02
1.743d+00 1.947d+00 1.684d-02
1.947d+00 2.150d+00 2.075d-02
2.150d+00 2.353d+00 2.188d-02
2.353d+00 2.556d+00 2.074d-02
2.556d+00 2.760d+00 2.157d-02
2.760d+00 2.963d+00 2.639d-02
2.963d+00 3.166d+00 3.326d-02
3.166d+00 3.370d+00 3.518d-02
3.370d+00 3.573d+00 2.985d-02
3.573d+00 3.776d+00 3.108d-02
3.776d+00 3.979d+00 2.985d-02
3.979d+00 4.183d+00 2.750d-02
4.183d+00 4.386d+00 2.735d-02
4.386d+00 4.589d+00 2.772d-02
4.589d+00 4.793d+00 2.928d-02
4.793d+00 4.996d+00 3.229d-02
4.996d+00 5.199d+00 3.112d-02
5.199d+00 5.402d+00 2.831d-02
5.402d+00 5.606d+00 2.468d-02
5.606d+00 5.809d+00 2.306d-02
5.809d+00 6.012d+00 2.036d-02
6.012d+00 6.215d+00 1.587d-02
6.215d+00 6.419d+00 1.777d-02
6.419d+00 6.622d+00 1.724d-02
6.622d+00 6.825d+00 1.566d-02
6.825d+00 7.029d+00 1.447d-02
7.029d+00 7.232d+00 1.326d-02
7.232d+00 7.435d+00 1.432d-02
7.435d+00 7.638d+00 1.583d-02
7.638d+00 7.842d+00 1.439d-02
7.842d+00 8.045d+00 1.367d-02
8.045d+00 8.248d+00 1.224d-02
8.248d+00 8.452d+00 8.957d-03
8.452d+00 8.655d+00 6.351d-03
8.655d+00 8.858d+00 3.792d-03
8.858d+00 9.061d+00 2.910d-03
9.061d+00 9.265d+00 3.047d-03
9.265d+00 9.468d+00 4.127d-03
9.468d+00 9.671d+00 5.666d-03
9.671d+00 9.875d+00 5.705d-03
9.875d+00 1.008d+01 5.960d-03
1.008d+01 1.028d+01 4.504d-03
1.028d+01 1.048d+01 3.080d-03
1.048d+01 1.069d+01 1.688d-03
1.069d+01 1.089d+01 6.312d-04
1.089d+01 1.100d+01 2.259d-05
